Designator,Mid X,Mid Y,Rotation,Layer
C2,86.36,-77.216,270.0,top
C3,104.7496,-78.7146,0.0,top
C4,85.1408,-80.8482,270.0,top
C5,85.0392,-85.151,270.0,top
C6,95.6056,-84.0638,270.0,top
C7,94.8436,-96.1644,90.0,top
C8,102.2096,-98.6942,270.0,top
D1,78.8671,-62.611,0.0,top
D2,88.647,-80.264,180.0,top
DZ1,102.1832,-81.2292,180.0,top
IC1,91.268,-73.787,0.0,top
IC2,90.7796,-84.4448,180.0,top
IC3,99.0266,-97.4574,0.0,top
J1,80.4738,-89.378,270.0,top
J2,80.4738,-81.25,270.0,top
J3,100.291,-64.239,0.0,top
J5,81.3502,-97.3882,0.0,top
J6,89.7696,-97.3882,0.0,top
J8,106.045,-91.312999,0.0,top
LED1,98.907,-86.826,180.0,top
Q1,90.5162,-90.617,0.0,top
Q2,86.63,-90.6322,180.0,top
R1,103.759,-91.186,90.0,top
R10,94.9706,-90.0644,90.0,top
R11,103.759,-93.6518,90.0,top
R12,94.9706,-92.6064,90.0,top
R13,103.759,-88.771,270.0,top
R14,89.0798,-93.3196,0.0,top
R15,102.1588,-96.0628,90.0,top
R16,78.357,-64.135,180.0,top
R17,78.105,-72.7456,90.0,top
R2,92.1825,-80.9577,180.0,top
R3,94.1637,-80.9577,180.0,top
R4,100.3554,-79.4004,0.0,top
R5,97.4598,-79.248,0.0,top
R7,89.8144,-88.138,180.0,top
R8,86.5866,-88.1634,180.0,top
R9,85.092,-93.2434,180.0,top
SW1,99.5426,-91.44,0.0,top
